site_name,catchment,catchment_confidence,merge_rule_applied,method_1_catchment,method_1_confidence,method_2_catchment,method_2_confidence,transmission_catchment,rationale,matched_keyword,best_capacity_mw,technology,fuel,owner,owner_tier,phantom_risk,phantom_flags,notes
Munmorah BESS,HCC,high,agree,HCC,high,HCC,high,HCC,Hunter-Central Coast REZ corridor (Bayswater/Eraring/Singleton),Munmorah,,,,,,,,
Palmerston Battery Energy Storage System - Akaysha,TAS-NW,high,no_coord_m1_backstop,TAS-NW,high,,,TAS-NW,Tasmania single catchment (NW Transmission Devs + Central Highlands hydro) — single user-specified catchment covers all TAS1 sites,(TAS region),,,,,,,,
Port Pirie,MN,high,agree,MN,medium,MN,high,MN,Mid-North SA REZ corridor (Robertstown/Davenport/Cultana),Port Pirie,,,,,,,,
Ridgey Creek BESS,NEW,medium,no_coord_m1_backstop,NEW,medium,,,NEW,New England REZ corridor (Armidale/Tamworth/Dumaresq),Ridgey Creek,130.0,Storage - Battery,Other - Other, Ridgey Creek BESS Pty Ltd,,,,
Silver City Energy Storage,SW-NSW,medium,no_coord_m1_backstop,SW-NSW,medium,,,SW-NSW,South-West NSW REZ corridor (Buronga/Dinawan/Wagga/PEC),Silver City,200.0,Storage - Other,Other - Other,A-CAES NSW PTY LTD,,,,
Territory Battery,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,200.0,Storage - Battery,Other - Other, Neoen Australia Pty Ltd,,,,
Thomastown Terminal Station,CN-VIC,high,excluded_m1,Unclassified,review,CN-VIC,high,Unclassified,No rule matched — manual review needed,,,,,,,,,
Wagga Wagga Renewable Project,SW-NSW,high,no_coord_m1_backstop,SW-NSW,high,,,SW-NSW,South-West NSW REZ corridor (Buronga/Dinawan/Wagga/PEC),Wagga Wagga,,,,,,,,
Wodonga Solar Farm,CN-VIC,medium,no_coord_m1_backstop,CN-VIC,medium,,,CN-VIC,Central North Victoria REZ corridor (Bendigo/Shepparton),Wodonga,76.0,Solar PV - Single axis tracking,Solar - Solar,Wodonga Solar Power ,,,,
Altona BESS,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,100.0,Storage - Battery,Other - Other,Ausnet Transmission Group Pty Ltd,,,,
Aquila Wind,CWO,review,boundary_swap_m1_med_far,NEW,medium,CWO,medium,NEW,New England REZ corridor (Armidale/Tamworth/Dumaresq),Aquila,200.0,Wind Turbine - Onshore,Wind - Wind,ACEN Australia Pty Ltd,,,,
BESS Blacktop,MN,medium,no_coord_m1_backstop,MN,medium,,,MN,Mid-North SA REZ corridor (Robertstown/Davenport/Cultana),Blacktop,,,,,,,,
Broken Hill,SW-NSW,high,agree,SW-NSW,medium,SW-NSW,high,SW-NSW,South-West NSW REZ corridor (Buronga/Dinawan/Wagga/PEC),Broken Hill,50.0,Storage - Battery,Other - Other,MACQGEN,,,,
Burrawong Wind Farm,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,,,,,,,,
Carag SF,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,,,,,,,,
Carwarp BESS,MR,medium,no_coord_m1_backstop,MR,medium,,,MR,Murray River REZ corridor (Kerang/Red Cliffs/PEC western feed),Carwarp,30.0,Storage - Battery,Other - Other,Canadian Solar,,,,
Copping Renewable Energy Facility,TAS-NW,high,no_coord_m1_backstop,TAS-NW,high,,,TAS-NW,Tasmania single catchment (NW Transmission Devs + Central Highlands hydro) — single user-specified catchment covers all TAS1 sites,(TAS region),,,,,,,,
Dalvui BESS,SW-VIC,high,agree,SW-VIC,medium,SW-VIC,high,SW-VIC,South-West Victoria REZ corridor (Mortlake/Moorabool/Heywood),Dalvui,250.0,Storage - Battery,Other - Other,Tilt Renewables Australia Pty Ltd,,,,
Dry Creek BESS,MN,medium,no_coord_m1_backstop,MN,medium,,,MN,Mid-North SA REZ corridor (Robertstown/Davenport/Cultana),Dry Creek,,,,,,,,
Drysdale,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,,,,,,,,
Glenorchy Renewable Energy Facility,TAS-NW,high,no_coord_m1_backstop,TAS-NW,high,,,TAS-NW,Tasmania single catchment (NW Transmission Devs + Central Highlands hydro) — single user-specified catchment covers all TAS1 sites,(TAS region),,,,,,,,
Gunnedah BESS,NEW,medium,no_coord_m1_backstop,NEW,medium,,,NEW,New England REZ corridor (Armidale/Tamworth/Dumaresq),Gunnedah,70.0,Storage - Battery,Other - Other, Gunnedah Battery Subco Pty Ltd,,,,
Hazelwood Battery Energy Storage System (HBESS),GIP,high,agree,GIP,high,GIP,high,GIP,Gippsland REZ corridor (Latrobe Valley 500 kV),Hazelwood,200.07,Storage - Battery,Other - Other,Hazelwood BESS Project Co Pty Ltd as trustee for the HBESS Asset Trust,,,,
Lake Lyell PHES,CWO,medium,no_coord_m1_backstop,CWO,medium,,,CWO,Central-West Orana REZ corridor (Elong Elong/Merotherie/Wollar),Lake Lyell,,,,,,,,
Lake Lyell Pumped Hydro,CWO,high,agree,CWO,medium,CWO,high,CWO,Central-West Orana REZ corridor (Elong Elong/Merotherie/Wollar),Lake Lyell,385.0,Storage - Pumped hydro,Hydro - Water,EnergyAustralia NSW Pty Ltd,,,,
Liddell BESS,HCC,high,agree,HCC,high,HCC,high,HCC,Hunter-Central Coast REZ corridor (Bayswater/Eraring/Singleton),Liddell,500.0,Storage - Battery,Other - Other,MACQGEN,,,,
